document	label
1 10호 주문했는데 10호가 생각보다 너무 예쁘고 잘 어울려서 만족해요 ㅎㅎ 배송도 빠르고 가격 저렴하구 단지 매트한 거 때문에 입술관리가 필요하네요	1
 페리페라 립품질 여러 가지 가지고 있는데 이 아이가 제일 마음에 들어요 발색 잘되고 지속력도 좋고 색 자체도 넘나 예쁘네 오 적극 추천 합니다	1
 배송 엄청 느려요	0
마음에 듭니다. 생각보다 매트해서 놀랐지만 발색 역시 굿입니다.	1
5호 색상 진짜 이쁘네요 ㅠㅠㅠ 다만 틴트 자체 냄새가 좀... 구려여...ㅠㅠ	1
관심병자들 천지같다 뭔 서로 모르는사람들끼리 소통이니 뭐니 뭘 소통하자는건지 모르겠다 그냥 관심병있는 사람들이 모인 곳같다 인스타 빠져있는사람치고 정상적인사람은 본적없다	0
신상도 나왔고 유명한 거라 신상 세 개나 사서 써봤는데 그냥 딱 가격 값만 함 뭐가 그렇게도 좋다 한 거지	0
조금 형광 도는 색상 ㅎ 조금 더 낮았으면 좋았을 텐데 그건 좀 아쉽네 오 ㅠㅠ 가격이랑 그런 건 완전 맘에 들어요	0
 매트립치고는 잘 발려요 색상 좀 각질부각 되지만 연해서 그런 거라 뭐 ...ㅎ 잘 쓸게요	0
근데 너무 잘 묻어나는 듯 립스틱 각질 일어나 못썼는데 아직 가지는 괜찮습니다. 저렴하니 색도 이쁘고 데일리로 막 쓰고 있어요.	0
색깔도 곱고 발림도 좋고 지속력 좋네요. 배송도 무지 빠르고요. 전 매트한 걸 좋아해요. 끈적이거나 뺀질 꺼리는 건 잘 지워지고 암튼 이게 딱 제거 네오	1
 케이스도 예쁘고 색상 예쁘고 발색젛고 잘 지워지지도 않아요 싸길래 우선 사봤는데 더 살걸 그랬어요 좋아요	1
생각보다 너무 색상 진해서 나중에 다른 색상 다시 구매해야겠어요	0
봄 신상답게 은은한 핑크라 부담스럽지 않게 바를 수 있을 것 같아요 지속력 좋고 발색 좋아서 강추 하는 품질입니다	1
뭔 색광 종류가 이리도 많은 건지.. 너무 헷갈려요 배송 빨라요 쓰던 거 살려는 건데도 헷갈리네 오	1
배경화면등으로 쓸만한 사진들이 많다고 해서 사용해 보려고 했었는데 정확히는 기억이 나지 않지만 사용에 어려웠다는 기억이 남아있어서 긍정적인 느낌의 앱은 아니다 	0
너무 매트해서 색상 만 매트한 게 아니라 발림성도 매우 매트함... 입술이 건조해 보임.	0
사고 싶었던 건데 특가 해서 싸게 잘 샀네요 배송 빠릅니다	1
 페리페라 틴트 처음 사보는데 지속력도 좋고 색상 이쁘고 가격도 싸고 좋네요 배송도 빨리 왔어요	1
사랑스러운 케이스와 이쁜 색상 완전히 중독이에요 짱 이쁨	1
가을에 쓰기 딱 좋은 색상 입니다. 싸게 사게 되어서 좋아요	1
부드럽게 잘 발려요. 색도 예쁘게 발색 되네요. 가격도 저렴하고 배송도 빨랐습니다. 사은품으론 팩이 왔네요 다 마음에 들어요	1
강력 추천 합니다 가격대비 발색 색상의 선택폭이 다양하다는 것이 아주 좋습니다 립스틱은 뭐니 뭐니 해도 발색 좋아야 하는데 만족스럽네요	1
레드립을 좋아해서 두 개다 레드로 할까 하다가 새로운 색상 도전해봤는데 몽환적 괜찮은 것 같아요	1
 페리페라 지속력 말 안 해도 아시다시피 너무 좋아요 매트한 거 좋아하면 정말 만족할 것 같습니다	1
매장 가보고 발림 좋고 예쁘더라고요 근데 맛이 별로 네오 매장 가보고 발림 좋고 예쁘더라고요 근데 맛이 별로 네오	1
밴드는 내가 관심이 있는 분야의 친구나 소식을 공유할 수 있고 예전의 카페기능을 간편하게 사용할 수 있어 좋은 것 같습니다	1
 페리페라 좋아요 너무 고 발색 이어서 양 조절 좀 신경 쓰셔야 할 거 같아요	0
 재구매 입이다.. 놈 만족스럽고요.. 색깔 별로 다 구매하고 르네여.. 좋은 품질과 알찬 구성 감사합니다..	1
 발림성도 좋고 우선 가격이 착해서 구매했는데 화면에서 봤던 색상 차이가 있습니다. 굉장히 어두워요.	0
매혹적이 18년 7월 가지라 좀 맘 아프지만... 발림 괜찮고 색도 잘 어울리네 오. 여부인데 만족.	1
 저렴한 가격에 이쁜 색상 잘 받아봤습니다	1
너무 좋아요 착색 잘되고 발색은 말할 것도 없고	1
고혹적 색상 진짜 이뻐요 다른 색상 어디서나 쉽게 볼 수 있는 색상 고혹적은 처음 보는 색상 것 같아요 벽돌색상 가을에 딱 어울리는 색상 것 같아요. 이름 그대로 고혹	1
 색상 품질 너무 좋아요	1
 페리페라 유명하잖아요 역시 좋아요 2개 시 켰는데 마음에 들어요 지속력 너무 좋고요	1
들어요 색상 안 발라봤지만 이쁠 거 같아요 마니 파세요로렁어어오 어우 엉 ㅜ우우엉 웅ㅇ어 유루응ㅇ	1
두 색상 모두 색도 이쁘고 발림성도 좋고 좋아요	1
 케이스도 맘에 들고 색상 마음에 들어요 이번에 처음 쓰는 건데 잘 쓸게요 배송도 빠르네오ㅎㅎㅎ	1
 색상 이뻐요 좀 묻어나고 그래도 흔적은 남자네 오 ㅎ	1
 배송 빨라요 색상 그냥 화면이랑 비슷하고요 완전 메트 한 타입은 아니에요	0
여자친구가 많이 고마워했어요 배송 빠른 편은 아니네 오	0
 배송 실수로 세 번 만에 받았네 오..	0
5개 시켰는데 4개가 와서 당황했지만 바로 친절하게 전화 응답해주셔서 좋아요 색감 이뻐요 건조 한 것 빼고는 발림성 최고	0
살짝 가을 색상인 듯합니다... 발색이 좋으며 착색 있습니다 참고하세요...	0
각질 도브 각 괜찮고 저한텐 색감 맞는 거 같아요	1
지도 특성상 많은 데이터전송량을 잡아먹는다 그렇지만 길찾기 시스템이나 뷰어등 유용한 기능이 많고 생각보다 정확한편	1
 지속력 좋고 발색도 이쁜데 착색이 좀 심해요 ㅋㅋㅋ 바르다 잘못해서 입술 옆 볼에 묻었는데 잘 안지워짐ㅋㅋ	1
4가지 중에 하나가 이름이 생각 안 나는데 색상이 젤 낫고요. 민낯에도 휴지 한번 하고 나면 자연스럽고. 착색 잘 됨	1
배달을 쉽게 할 수 있어서 좋다 그러나 마케팅에 의한 어플이 되어간다 점점	1
네이버 스포츠나 뉴스를 많이 보는 입장에서는 상당히 편리하고 검색하기 쉽게 만든 앱 인것 같습니다	1
다만 인터넷으로만 보고 사서 그런지 색상은 제가 생각하던 것보단 연하 네오 ㅜ ㅜ좀 더 써봐야 알 것 같지만 일단 발색 잘되고 각질부각은 없어요	1
