ratings	document	label
1	아니 제일은행 들어갈라면 이거깔아야된다해서 깔앗는데 알약쓰는뎁쇼	0
4	음악 어플리케이션 중 가장 좋다 측면에서도 뛰어나고 이용자가 많아 음악 차트의 정확도가 높아서 좋다 	1
4	다양한 자료의 공유 및 폴더 별 정리 등 업무나 연구에 있어서 파일 정리가 필요한 사람들에게 유용한 어플이라는 생각이 들었다 	1
5	실시간 통장 잔고 확인 계좌이체 등 여러가지 은행 업무를 수행할 수 있어서 좋다 불안한 점은 보안 문제이다	1
5	대한민국 안에서는 구글 지도보다도 훨씬 편리하다 도착지 계산 및 교통수단 자동검색 기능이 매우 편리하다	1
5	불편함 물론 있지만 많은 사람들이 사용한만큼 정말 필요하고 효율적인 어플이다고 생각한다 	1
4	좋음 좋음 좋음 느린 것 빼고 다 좋음 사실 느린 것도 내 핸드폰 성능의 문제인듯 완벽한 베스트 케이스를 내놓는 경우가 절대적이지는 않지만 꽤 쓸만한다 그렇지만 나는 다음이 더 좋음 다음뷰 짱	1
5	요즘은 인기가 한풀 꺾였지만 그래도 재밌게 하고 있다 근데 난 올드유저라서 상관 없지만 새로 시작할려는 사람한테는 그다지 좋은 서비스를 해주고 있는거 같진 않다 신규유저용 이벤트를 많이 해야 할듯	1
5	스팸 전화나 메세지를 구별할때 아주 좋은 어플 입니다 유용하게 사용하고 있고 정보의 신뢰도가 아주 높습니다	1
2	네이트도 검색이용이하고 타 소셜네트워크와 다른점은 개인의 경험등 체험담을 올리는 공간인 판이 있어 알기어려운 것들에대해 정보를얻을수 있음	0
1	처음에등장했을때는 모두가 환호했지만 점점망해가는 이게임 에휴 불쌍한마블같으니라고 쯧쯧 돈을뿌리니까망하지	0
5	스마터 서브웨이 앱만 있으면 지하철 이용시 아무리 멀고 환승을 많이 해도 걱정이 안된다 	1
2	뭔가 애매하다 활성화가 되기 힘든 어플이 아닌가 싶다 맨날 뭐 홍보글이나 올라오는 것 같아 싫다	0
2	중독성이 강합니다 한 때 중간고사를 쿠키런으로 망친기억이있습니다 지금은 끊어서 광명찾았습니다	0
5	좋습니다 저는 많이 사용하지는 않지만 저희 어머니는 아주 애용하십니다 젊은 세대들은 페이스북이나 트위터 인스타그램을 이용하여 친구들과 소통하지만 부모님세대는 그렇지 않습니다 그나마 카카오스토리로 소통하는 것 같아 좋습니다	1
2	통신사만 아니면 절대 이용 안할 쓰레기 인터페이스다 업데이트를 하고서 더 이상해졌다	0
4	대한민국 최고의 어플중 하나라고 생각합니다 메신저로서의 기능을 보면 다양한 무료이모티콘 등을 사용할 수 있고 동영상 사진 전송 등이 용이하여 휴대폰의 문자기능을 유명무실하게 한 어플이라고 생각한다 인 카카오스토리가 망해버려서 별개 	1
4	스마트폰으로 문서나 등을 많이 다운받는데 스마트폰으로는 일일이 관리하게 힘들때가 있다 클린 마스터로 그런것들을 한번에 정리할 수 있어서 좋다	1
5	직캠 죽입니다직캠 죽입니다직캠 죽입니다직캠 죽입니다직캠 죽입니다직캠 죽입니다직캠 죽입니다직캠 죽입니다직캠 죽입니다직캠 죽입니다	1
