document	label
굿 잉크 오리지널만 써봤는데 너무 건조해서 별루였거든요. 근데 이건 되게 뽀송뽀송 하면서 덜 건조한 것 같아요. 그리고 지속력 어마어마 하네요. 안 지워져서 고민	1
 저렴한 가격 득템 했어요 색상 너무 이뻐요	1
매트한데 심하지 않고 발색 지속력 좋고 컵에 묻긴 해요 그래도 색상좋네오 내 스타일 굿굿 11세일할 때 잘 삼	1
 저렴한 가격에 만족합니다 지적 색상 전혀 기대 안 하고 샀는데 데일리로 짱 과도한 아이메이크업과 잘 어울립니다	1
어디 놀러가서 쿠폰을 급하게 사거나 살때 싸게 살수있었고 여러 회사들의 가격과 종류를 나열해줘서 수고로움을 덜게되었고 사용하기도 편했다	1
매트한 데 이뻐요 각질부각은 없네요 ㅜ 지속력 좋고 마음에 들어요	1
매트한데도 그다지 답답하지 않고 발림 좋고 가격 착하고 맘에 듭니다.	1
 말린장미색 너무 이뻐요. 지워지지 않고 오래가서 좋고요. 배송 빨라요. 근데 포장 상태가 안 좋아요	0
 배송 빨랐어요 여주인공은 생각보다 색상 돌고 외모성수기는 흰끼가 많네요 각질정리 잘해야 할 것 같아요 ㅋㅋ싸게 잘 샀어요	0
과하지도 않고 튀지도 않고 색감도 잘 나타나는 베이지색 그리고 핑크색은 너무 예뻐요 발랐을 때 매트하지 않고 촉촉해서 좋았어요. 지속력 잘 모르겠어요...	0
완존 별루에 싼 맛이 그냥 비싼 거 살걸 그랬어요 원한 색상 두 아니에요 그렇다고 다 나쁜 건 아니고요 색상 너무 진해요 제 스탈이 아니어서 그런 거지 나쁘진 언어요	0
이쁘지만 공식 홈페이지 발색처럼 색상 안 나오네 오	0
 색상 이뻐요 배송도 빠른 것 같아요	1
3 색상 샀는데 모두 마음에 들어요 싸게 샀고 배송 보통입니다 잘 사용할게요	0
 오렌지 색상가 탱글탱글.. 이뻐요	1
안드로이드앱에 기본어플로 깔려있다 실지적으로 핸드폰앱 바이러스를 잡는다는건 불가능해보인다 그냥 은행앱때문에 깔았자	0
품질은 저렴하고 좋은데... 제가 색상 잘못 골랐네 오 ㅠㅠ담에 세일함 다시 한번 구매예정이에요	0
두 개 샀는데 색감 너무 예뻐요 나오자마자 사길 잘한 것 같습니다 ㅎㅎ 착색도 원래 색 그대로 잘 돼요	1
발림 색상 다 괜찮네 오	1
색상 정말 이쁘네 오 발색 좋은데 색상 색상 입술에 남아요 싼 가격에 두 개 못 사서 아쉽네 오	0
 저렴한 가격 발색 짱 지속력 짱 빠른 배송 감사합니다	1
색깔 진짜 이쁨 발림 최고	1
색상계 구림 촌스러움 자주 색상 매트를 넘어 건조. 냄 아이섀도 토할 것 같음	0
 페리페라 구입 후 이것들만 써요. 색도 예쁘고 발색 최고입니다. 많이 파세요	1
 색상 토인스럽지 않고 예뻐요 그리고 생각보다 덜 건조하고요 뽀송뽀송 해요 다만 주름과 각질부각 장난 없네요.. ㅎ	1
 배송 너무 늦었어요ㅠ 그래도 품질은 예뻐서 다행	0
맘에 듭니다 색상 예뻐요	1
기본적인 발림 발색 유지는 좋고요 색감은 화사한 이쁜 레드 피부가 하얀 분들에게 더 이쁠 듯요	1
업데이트 되고나서 동영상이 자동적으로 플레쉬처럼 켜지는게 싫다 기능을 끄면 되긴 하지만 왜 만들었는지 잘 모르겠다 푸쉬알람도 귀찮고 배터리도 꽤 잡아먹는 것 같아 지웠다	0
다른 색상 샀다가 너무 마음에 들어서 이번에는 10호 폭풍 대시 구매했어요ㅎㅎ 역시나 마음에 쏙드네오ㅎㅎ 배송도 빨리왔어요ㅎㅎ	1
가성비가 제일 좋은 거 같아요 색감도 이쁘고 지속력 좋아요 잘 쓰고 있고요 선물도 했어요	1
색감 이뻐요 진짜 생기 충전되는 기분	1
 배송은 빠르고 좋은데 포장 엄청 별로 네오다 찌그러져서 왔어요 선물용도 아니고 내용물은 멀쩡하니 씁니다	0
 별루예요 입술이 색이 없어서 잉크 품질 필요해서 샀는데 생각보다 발색 별루예요 그래도 배송이 빨라요	0
괜찮습니다. 색상 잘 안 지워져요	1
제가 정말 좋아하는 색이에요 ㅠㅠ 근데 색상 돌아서 제 피부색에는 안 어울려서 좀 아쉽네 오 ㅠㅠ	0
데일리로 쓰기 좋은 색상 무난해요	1
 촉촉한데 발색 생각보단 약해요 그냥 오렌지 네오	0
 지속력 개쩔어요. 귣귣귣. 색을 잘못 주문했는데 품질 품질 자체는 엄청 좋습니다	1
스마트폰으로 간편하게 금융업무를 볼때 이 앱이 실행됨으로써 안전하게 거래가 되고있다는 느낌이 들어 마음이 놓인다 	1
색은 아주 이쁘고요 각질부각 쩔고요 근데 색이 이뻐서 바르니 당	0
